Model,Problem Code,Counted
AGV12 07,F12001001,4
AGV12 07,F12001030,3
AGV12 07,F12001049,2
AGV12 07,F12001054,2
AGV12 07,F12001011,2
AGV12 07,F12001065,2
AGV12 07,F12001028,1
AGV12 07,F12001005,1
AGV12 07,F12001021,1
AGV12 07,F12001079,1
AGV12 08,F12001030,3
AGV12 08,F12001049,1
AGV12 08,F12001012,1
AGV12 08,F12001052,1
AGV12 08,F12001015,1
AGV12 08,F12001079,1
AGV12 09,F12001030,4
AGV12 09,F12001006,2
AGV12 09,F12001001,2
AGV12 09,F12001052,2
AGV12 09,F12001011,2
AGV12 09,F12001049,1
AGV12 09,F12001014,1
AGV12 09,F12001003,1
AGV12 09,F12001005,1
AGV12 09,F12001012,1
AGV12 09,F12001079,1
AGV12 10,F12001030,8
AGV12 10,F12001001,7
AGV12 10,F12001005,2
AGV12 10,F12001026,2
AGV12 10,F12001049,1
AGV12 10,F12001052,1
AGV12 10,F12001079,1
AGV12 11,F12001005,9
AGV12 11,F12001030,5
AGV12 11,F12001075,2
AGV12 11,F12001014,2
AGV12 11,F12001049,1
AGV12 11,F12001001,1
AGV12 11,F12001054,1
AGV12 11,F12001061,1
AGV12 11,F12001079,1
AGV12 11,F12001006,1
AGV12 11,F12001040,1
AGV12 12,F12001030,5
AGV12 12,F12001001,3
AGV12 12,F12001049,1
AGV12 12,F12001026,1
AGV12 12,F12001079,1
AGV12 01,F12001054,20
AGV12 01,F12001030,10
AGV12 01,F12001005,6
AGV12 01,F12001001,3
AGV12 01,F12001024,1
AGV12 01,F12001055,1
AGV12 01,F12001045,1
AGV12 01,F12001013,1
AGV12 01,F12001032,1
AGV12 01,F12001077,1
AGV12 01,F12001065,1
AGV12 01,F12001043,1
AGV12 01,F12001038,1
AGV12 01,F12001025,1
AGV12 01,F12001028,1
AGV12 01,F12001044,1
AGV12 01,F12001073,1
AGV12 06,F12001054,6
AGV12 06,F12001011,2
AGV12 06,F12001001,2
AGV12 06,F12001012,2
AGV12 06,F12001064,1
AGV12 06,F12001077,1
AGV12 06,F12001079,1
AGV12 06,F12001032,1
AGV12 06,F12001030,1
AGV12 06,F12001005,1
AGV12 06,F12001055,1
AGV12 06,F12001024,1
AGV12 06,F12001073,1
AGV12 05,F12001030,9
AGV12 05,F12001054,5
AGV12 05,F12001001,3
AGV12 05,F12001005,2
AGV12 05,F12001064,2
AGV12 05,F12001075,1
AGV12 05,F12001079,1
AGV12 05,F12001014,1
AGV12 05,F12001044,1
AGV12 05,F12001045,1
AGV12 05,F12001018,1
AGV12 05,F12001055,1
AGV12 05,F12001024,1
AGV12 05,F12001073,1
AGV12 02,F12001030,9
AGV12 02,F12001054,4
AGV12 02,F12001005,4
AGV12 02,F12001038,2
AGV12 02,F12001067,2
AGV12 02,F12001001,2
AGV12 02,F12001065,1
AGV12 02,F12001022,1
AGV12 02,F12001012,1
AGV12 02,F12001021,1
AGV12 02,F12001032,1
AGV12 02,F12001055,1
AGV12 02,F12001024,1
AGV12 02,F12001073,1
AGV12 04,F12001001,11
AGV12 04,F12001030,7
AGV12 04,F12001054,7
AGV12 04,F12001032,3
AGV12 04,F12001005,2
AGV12 04,F12001038,2
AGV12 04,F12001024,2
AGV12 04,F12001011,2
AGV12 04,F12001075,1
AGV12 04,F12001055,1
AGV12 04,F12001003,1
AGV12 04,F12001068,1
AGV12 04,F12001077,1
AGV12 04,F12001048,1
AGV12 04,F12001044,1
AGV12 04,F12001028,1
AGV12 04,F12001025,1
AGV12 04,F12001065,1
AGV12 04,F12001073,1
AGV12 03,F12001030,15
AGV12 03,F12001001,5
AGV12 03,F12001054,3
AGV12 03,F12001006,2
AGV12 03,F12001061,2
AGV12 03,F12001038,1
AGV12 03,F12001025,1
AGV12 03,F12001013,1
AGV12 03,F12001065,1
AGV12 03,F12001027,1
AGV12 03,F12001069,1
AGV12 03,F12001055,1
AGV12 03,F12001024,1
AGV12 03,F12001073,1
AGV1 05,F12001005,2
AGV1 05,F12001054,2
AGV1 05,F12001065,1
AGV1 01,F12001022,9
AGV1 01,F12001027,5
AGV1 01,F12001005,3
AGV1 01,F12001045,3
AGV1 01,F12001054,3
AGV1 01,F12001025,2
AGV1 01,F12001007,1
AGV1 01,F12001026,1
AGV1 02,F12001005,10
AGV1 02,F12001030,3
AGV1 02,F12001054,3
AGV1 02,F12001075,1
AGV1 02,F12001022,1
AGV1 02,F12001025,1
AGV1 02,F12001045,1
AGV1 02,F12001021,1
AGV1 04,F12001054,12
AGV1 04,F12001022,5
AGV1 04,F12001030,3
AGV1 04,F12001032,2
AGV1 04,F12001005,2
AGV1 04,F12001025,1
AGV1 03,F12001005,3
AGV1 03,F12001030,2
AGV1 03,F12001027,1
AGV1 03,F12001011,1
AGV1 03,F12001034,1
AGV1 03,F12001006,1
AGV1 03,F12001026,1
