Model,problem_code,cause_code,remedies_code
AGV12 07,F12001049,F12001049002,F12001049002001
AGV12 07,F12001049,F12001049002,F12001049002001
AGV12 08,F12001049,F12001049002,F12001049002001
AGV12 09,F12001049,F12001049002,F12001049002001
AGV12 10,F12001049,F12001049002,F12001049002001
AGV12 11,F12001049,F12001049002,F12001049002001
AGV12 12,F12001049,F12001049002,F12001049002001
AGV12 07,F12001028,F12001028003,F120010280031
AGV12 01,F12001077,F120010772,F1200107722
AGV12 01,F12001043,F12001043003,F120010430031
AGV12 06,F12001064,F12001064001,F12001064001002
AGV12 06,F12001077,F120010771,F1200107712
AGV12 09,F12001006,F12001006004,F12001006001001
AGV12 05,F12001001,F12001001001,F12001001001002
AGV12 12,F12001001,F12001001001,F12001001001002
AGV12 11,F12001075,F12001075001,F12001075001004
AGV12 11,F12001005,F12001005006,F120010050061
AGV12 12,F12001030,F12001030005,F120010300051
AGV12 12,F12001030,F12001030005,F120010300051
AGV12 09,F12001001,F12001001001,F12001001001002
AGV12 11,F12001001,F12001001001,F12001001001002
AGV12 09,F12001001,F12001001001,F12001001001002
AGV12 10,F12001001,F12001001001,F12001001001002
AGV12 01,F12001044,F12001044002,F120010440021
AGV12 09,F12001030,F12001030005,F120010300051
AGV12 11,F12001030,F12001030005,F120010300051
AGV12 10,F12001001,F12001001001,F12001001001002
AGV12 11,F12001014,F12001014001,F12001014001001
AGV12 10,F12001005,F12001005004,F12001005004001
AGV12 05,F12001030,F12001030001,F12001030001003
AGV12 05,F12001075,F12001075001,F12001075001004
AGV12 02,F12001038,F12001038001,F12001038001001
AGV12 11,F12001005,F12001005006,F120010050061
AGV12 11,F12001005,F12001005006,F120010050061
AGV12 04,F12001001,F12001001001,F12001001001002
AGV12 11,F12001014,F12001014001,F12001014001001
AGV12 11,F12001030,F12001030001,F12001030001003
AGV12 08,F12001012,F12001012002,F12001012002001
AGV12 09,F12001052,F12001052002,F120010520021
AGV12 07,F12001054,F12001054001,F12001054001002
AGV12 09,F12001011,F12001011001,F12001011001001
AGV12 09,F12001011,F12001011001,F12001011001001
AGV12 04,F12001011,F12001011001,F12001011001001
AGV12 07,F12001011,F12001011001,F12001011001001
AGV12 06,F12001011,F12001011001,F12001011001001
AGV12 11,F12001075,F12001075001,F12001075001004
AGV12 07,F12001001,F12001001001,F12001001001002
AGV12 09,F12001014,F12001014001,F12001014001001
AGV12 11,F12001030,F12001030001,F12001030001003
AGV12 08,F12001052,F12001052002,F120010520021
AGV12 09,F12001052,F12001052002,F120010520021
AGV12 09,F12001030,F12001030002,F12001030002001
